Date,Open,High,Low,Close,Volume
30-Sep-16,37.98,38.25,37.82,37.93,2599153
29-Sep-16,38.17,38.35,37.86,37.88,2035964
28-Sep-16,38.30,38.47,38.12,38.37,2104031
27-Sep-16,37.66,38.34,37.63,38.25,2546669
26-Sep-16,37.75,37.78,37.29,37.33,2113718
23-Sep-16,37.59,37.99,37.59,37.87,2226116
22-Sep-16,37.47,37.84,37.29,37.75,2393702
21-Sep-16,37.23,37.46,36.35,37.37,2757420
20-Sep-16,36.74,36.94,36.39,36.39,1381162
19-Sep-16,36.70,36.70,36.33,36.58,2191482
16-Sep-16,36.68,36.73,36.13,36.37,2560621
15-Sep-16,36.24,36.70,36.18,36.68,1600459
14-Sep-16,36.68,36.76,36.27,36.33,1385647
13-Sep-16,36.36,36.69,36.17,36.54,3248490
12-Sep-16,36.00,36.56,36.00,36.49,2896462
9-Sep-16,37.34,37.34,36.00,36.01,3090392
8-Sep-16,37.96,38.03,37.50,37.51,2269219
7-Sep-16,38.58,38.64,37.85,38.06,1956575
6-Sep-16,38.46,38.66,38.32,38.65,1351171
2-Sep-16,38.24,38.56,38.20,38.46,1694553
1-Sep-16,38.10,38.33,37.85,38.21,2024330
31-Aug-16,38.07,38.36,37.86,38.26,2505448
30-Aug-16,38.29,38.36,37.76,37.88,2117844
29-Aug-16,38.00,38.44,37.84,38.40,2529949
26-Aug-16,38.37,38.43,37.79,37.92,2384791
25-Aug-16,38.72,38.76,38.36,38.43,3040102
24-Aug-16,39.22,39.26,38.57,38.66,2345384
23-Aug-16,39.58,39.65,38.97,39.08,1911990
22-Aug-16,39.17,40.00,38.93,39.51,3918666
19-Aug-16,37.25,38.70,37.12,38.66,5060343
18-Aug-16,37.02,37.94,36.87,37.04,5737935
17-Aug-16,36.13,36.53,35.87,36.35,3689401
16-Aug-16,36.63,36.70,36.01,36.19,3694340
15-Aug-16,36.87,36.90,36.49,36.71,2214953
12-Aug-16,36.56,37.10,36.53,37.06,1720254
11-Aug-16,36.83,36.93,36.28,36.43,1712999
10-Aug-16,36.50,36.81,36.42,36.77,1016764
9-Aug-16,36.28,36.66,36.15,36.49,1447452
8-Aug-16,36.47,36.48,36.06,36.48,1442690
5-Aug-16,36.35,36.53,36.12,36.41,1743518
4-Aug-16,36.31,36.55,36.07,36.29,1734900
3-Aug-16,36.96,36.96,36.00,36.13,2502090
2-Aug-16,37.30,37.54,36.83,36.91,2080875
1-Aug-16,37.35,37.57,36.93,37.55,2120011
29-Jul-16,36.70,37.45,36.70,37.35,5806208
28-Jul-16,36.31,36.67,35.94,36.61,2809842
27-Jul-16,36.65,36.75,36.19,36.21,2737657
26-Jul-16,36.88,37.10,36.55,36.55,1451670
25-Jul-16,36.84,37.07,36.60,36.81,1354733
22-Jul-16,36.81,37.04,36.75,36.88,1411441
21-Jul-16,36.77,36.85,36.51,36.85,1566987
20-Jul-16,36.95,36.98,36.67,36.84,1430107
19-Jul-16,36.56,36.84,36.48,36.82,2060458
18-Jul-16,36.34,36.68,36.27,36.53,1896313
15-Jul-16,36.70,36.77,36.24,36.27,2556213
14-Jul-16,36.33,36.74,36.29,36.71,2587022
13-Jul-16,36.28,36.61,36.14,36.56,2059123
12-Jul-16,36.28,36.45,36.18,36.27,2148598
11-Jul-16,36.62,36.68,36.33,36.42,2159548
8-Jul-16,36.51,36.71,36.29,36.61,3079594
7-Jul-16,36.75,36.82,36.37,36.44,2377870
6-Jul-16,36.61,37.38,36.53,36.63,3829532
5-Jul-16,36.16,36.92,36.08,36.73,3785220
1-Jul-16,36.74,37.10,36.14,36.28,2908389
30-Jun-16,35.33,36.64,35.30,36.60,4685978
29-Jun-16,35.25,35.52,34.90,35.32,2551971
28-Jun-16,35.85,36.27,34.68,34.98,4093846
27-Jun-16,35.09,36.02,35.04,35.81,5821130
24-Jun-16,33.83,35.60,33.70,35.34,5930693
23-Jun-16,34.91,34.96,34.43,34.59,2048168
22-Jun-16,34.92,35.04,34.57,34.57,1624080
21-Jun-16,34.68,35.10,34.56,34.92,3015550
20-Jun-16,35.04,35.24,34.62,34.64,2366694
17-Jun-16,34.87,34.94,34.45,34.88,2907444
16-Jun-16,34.18,34.99,34.17,34.96,2824379
15-Jun-16,34.46,34.53,34.09,34.18,2276463
14-Jun-16,34.28,34.44,34.10,34.35,3115813
13-Jun-16,34.60,34.86,34.20,34.44,3117619
10-Jun-16,34.68,34.86,34.52,34.76,2653854
9-Jun-16,34.53,34.97,34.43,34.90,2656057
8-Jun-16,34.29,34.56,34.11,34.54,3363036
7-Jun-16,34.01,34.62,33.93,34.40,3424361
6-Jun-16,34.57,34.67,33.92,34.01,3789602
3-Jun-16,34.46,34.84,34.36,34.67,2787473
2-Jun-16,34.41,34.58,34.20,34.28,2493634
1-Jun-16,34.44,34.77,34.19,34.43,2934288
31-May-16,34.83,35.13,34.31,34.41,4306576
27-May-16,34.95,35.00,34.62,34.78,2106010
26-May-16,34.67,35.08,34.41,34.90,3754684
25-May-16,34.79,34.88,34.28,34.61,4453991
24-May-16,35.03,35.19,34.60,34.80,3385144
23-May-16,34.90,35.17,34.80,34.87,3291437
20-May-16,35.46,35.58,34.73,34.86,7716172
19-May-16,35.47,35.66,34.76,35.37,8261614
18-May-16,38.64,38.64,35.14,35.48,12775036
17-May-16,40.00,40.22,38.56,38.80,5405956
16-May-16,39.86,40.36,39.80,40.24,2916207
13-May-16,40.10,40.54,39.76,39.90,2117096
12-May-16,40.09,40.49,39.87,40.21,2594181
11-May-16,39.90,40.34,39.89,40.01,3384545
10-May-16,39.86,40.10,39.60,40.00,3115173
9-May-16,38.81,40.02,38.71,39.74,4691559
6-May-16,38.20,38.66,37.86,38.55,2765597
5-May-16,38.74,39.14,38.08,38.19,3464186
4-May-16,38.43,39.00,38.43,38.73,2970692
3-May-16,38.65,38.83,38.35,38.53,2574939
2-May-16,38.56,39.17,38.54,38.71,2343960
29-Apr-16,38.57,38.83,38.20,38.55,2854644
28-Apr-16,38.44,39.02,38.42,38.73,2478076
27-Apr-16,38.31,39.31,38.26,38.57,3270827
26-Apr-16,38.14,38.51,38.04,38.24,3436381
25-Apr-16,37.76,38.18,37.57,37.91,2832023
22-Apr-16,38.00,38.06,37.49,37.66,3744921
21-Apr-16,38.54,38.56,37.63,37.84,4103575
20-Apr-16,39.36,39.64,38.57,38.59,3158026
19-Apr-16,39.58,39.72,39.06,39.47,2317881
18-Apr-16,39.40,39.56,39.20,39.40,2058576
15-Apr-16,39.26,39.61,38.80,39.46,3542623
14-Apr-16,39.62,40.00,39.22,39.25,4451760
13-Apr-16,40.68,40.85,39.49,39.82,6596674
12-Apr-16,41.20,41.23,40.58,40.68,4809680
11-Apr-16,41.93,42.05,40.99,41.17,3460555
8-Apr-16,42.33,42.35,41.30,41.82,3477114
7-Apr-16,43.03,43.15,42.09,42.19,2920160
6-Apr-16,42.18,43.01,42.16,43.00,3219449
5-Apr-16,42.58,42.87,41.92,42.24,5827810
4-Apr-16,43.93,43.98,43.16,43.55,2164391
1-Apr-16,43.07,43.94,43.02,43.91,3020543
31-Mar-16,43.90,44.04,43.00,43.24,2885674
30-Mar-16,44.68,44.68,43.48,43.95,2659670
29-Mar-16,43.87,44.68,43.83,44.40,2232337
28-Mar-16,43.27,43.89,43.27,43.80,1332213
24-Mar-16,43.55,43.84,43.08,43.27,1435000
23-Mar-16,43.48,43.99,43.26,43.69,2208233
22-Mar-16,43.67,43.85,43.43,43.54,1743710
21-Mar-16,43.61,43.91,43.40,43.63,1964524
18-Mar-16,44.14,44.22,43.56,43.70,3891158
17-Mar-16,44.34,44.38,43.75,44.05,2718717
16-Mar-16,43.94,44.73,43.64,44.42,2249429
15-Mar-16,43.73,44.31,43.58,44.08,1688083
14-Mar-16,43.38,43.91,43.26,43.85,1729963
11-Mar-16,43.80,43.93,43.22,43.58,2220239
10-Mar-16,43.96,44.02,43.02,43.51,2019516
9-Mar-16,43.78,44.14,43.62,43.92,2357342
8-Mar-16,43.30,43.96,43.25,43.69,1568802
7-Mar-16,43.73,43.80,43.35,43.44,1683774
4-Mar-16,44.01,44.19,43.62,44.01,2368580
3-Mar-16,43.35,44.44,43.28,44.09,3850537
2-Mar-16,43.10,43.42,42.83,43.35,2141401
1-Mar-16,42.82,43.25,42.68,43.02,2430151
29-Feb-16,42.84,43.28,42.46,42.51,4082233
26-Feb-16,44.00,44.15,42.87,42.97,2163609
25-Feb-16,43.89,44.00,43.50,43.87,2001422
24-Feb-16,43.50,43.86,43.11,43.71,2407175
23-Feb-16,43.04,43.70,42.92,43.57,2439549
22-Feb-16,43.13,43.21,42.76,43.03,2070268
19-Feb-16,42.69,43.26,42.41,42.75,4989829
18-Feb-16,43.77,43.94,42.77,42.89,4278773
17-Feb-16,44.46,44.82,43.61,44.47,5465223
16-Feb-16,43.46,45.72,43.10,44.44,7168477
12-Feb-16,41.81,42.20,41.10,41.50,3700303
11-Feb-16,41.43,41.93,40.67,41.69,3413381
10-Feb-16,41.41,42.10,41.30,41.67,2580612
9-Feb-16,40.44,41.54,40.34,41.43,4417984
8-Feb-16,39.44,40.87,39.26,40.70,3893004
5-Feb-16,39.35,39.90,39.06,39.47,3506438
4-Feb-16,39.90,39.90,39.12,39.22,3205976
3-Feb-16,41.27,41.31,39.81,39.96,4296434
2-Feb-16,40.94,40.94,40.50,40.66,4649074
1-Feb-16,40.29,41.18,40.09,41.01,4002692
29-Jan-16,39.42,40.26,39.35,40.20,5636950
28-Jan-16,38.46,39.50,38.40,39.16,3832636
27-Jan-16,38.42,38.82,38.14,38.30,2318900
26-Jan-16,37.83,38.73,37.76,38.42,2475974
25-Jan-16,38.00,38.24,37.68,37.76,3074304
22-Jan-16,37.64,38.06,37.44,37.99,2441868
21-Jan-16,37.90,38.18,36.98,37.24,3901736
20-Jan-16,38.11,38.30,36.87,37.78,4954374
19-Jan-16,38.60,38.88,38.13,38.45,4525450
15-Jan-16,38.94,38.98,37.75,38.06,5296792
14-Jan-16,39.24,39.66,39.07,39.42,2279404
13-Jan-16,39.82,40.12,39.14,39.22,2449920
12-Jan-16,39.38,39.87,39.21,39.76,2730472
11-Jan-16,39.22,39.28,38.52,39.02,3741670
8-Jan-16,39.48,39.92,39.01,39.08,2862344
7-Jan-16,39.56,39.70,38.90,39.32,4977302
6-Jan-16,39.50,40.28,39.22,40.04,5574792
5-Jan-16,39.28,39.94,39.10,39.90,3858518
4-Jan-16,39.12,39.16,38.79,39.11,3082878
31-Dec-15,39.74,39.86,39.47,39.54,1880976
30-Dec-15,40.00,40.18,39.53,39.83,2154984
29-Dec-15,40.12,40.32,39.97,40.25,1699620
28-Dec-15,39.82,40.01,39.66,40.00,1453708
24-Dec-15,39.93,40.08,39.78,39.91,1028832
23-Dec-15,40.33,40.39,39.35,39.88,3599656
22-Dec-15,39.96,40.26,39.54,40.26,2444836
21-Dec-15,39.65,39.90,39.46,39.83,1986250
18-Dec-15,39.52,39.70,39.26,39.40,6723534
17-Dec-15,39.87,40.10,39.45,39.74,3329338
16-Dec-15,39.36,39.98,39.17,39.92,3734244
15-Dec-15,39.19,39.36,38.72,39.00,2794346
14-Dec-15,38.26,39.06,38.09,38.99,2970318
